NAME,S1501_C01_006E,S1501_C01_015E,S1501_C01_016E,S1501_C01_018E,S1501_C01_019E,S1501_C01_021E,S1501_C01_022E,S1501_C01_024E,S1501_C01_025E,S1501_C01_027E
Geographic Area Name,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher
ZCTA5 13417,2536,824,505,314,340,53,930,321,761,136
ZCTA5 13418,225,39,3,0,54,6,135,29,33,4
ZCTA5 13420,779,251,13,0,32,7,374,124,360,120
ZCTA5 13421,9534,2199,1875,451,1270,326,4064,928,2325,494
ZCTA5 13424,1776,412,384,75,289,93,662,159,441,85
ZCTA5 13425,1651,373,207,79,345,112,602,89,497,93
ZCTA5 13428,1110,218,221,63,175,22,327,82,387,51
ZCTA5 13431,1246,356,234,50,181,64,527,191,304,51
ZCTA5 13433,1155,131,205,39,148,30,497,54,305,8
ZCTA5 13435,200,58,13,2,65,15,77,20,45,21
ZCTA5 13436,64,12,5,0,0,0,38,4,21,8
ZCTA5 13437,293,10,43,0,71,0,95,8,84,2
ZCTA5 13438,2622,578,413,111,282,72,1242,240,685,155
ZCTA5 13439,2467,520,352,101,367,83,1026,179,722,157
ZCTA5 13440,29398,6370,6157,1504,4432,1241,11440,2228,7369,1397
ZCTA5 13441,110,72,76,58,0,0,20,0,14,14
ZCTA5 13450,35,2,0,0,0,0,23,0,12,2
ZCTA5 13452,3273,384,618,99,512,52,1210,125,933,108
ZCTA5 13454,456,64,44,0,139,22,158,35,115,7
ZCTA5 13456,2863,874,392,160,525,247,1235,317,711,150
ZCTA5 13459,1829,401,289,112,318,42,677,119,545,128
ZCTA5 13460,3099,560,544,73,535,80,1329,245,691,162
ZCTA5 13461,2206,648,309,137,241,79,860,257,796,175
ZCTA5 13464,1024,115,192,31,73,17,450,35,309,32
ZCTA5 13468,347,119,70,31,30,3,160,57,87,28
ZCTA5 13469,992,283,190,8,44,18,429,91,329,166
ZCTA5 13470,453,72,47,25,36,0,219,28,151,19
ZCTA5 13471,2250,225,483,87,416,63,866,43,485,32
ZCTA5 13472,68,19,0,0,0,0,0,0,68,19
ZCTA5 13473,499,108,68,19,110,35,179,47,142,7
ZCTA5 13475,7,7,0,0,3,3,4,4,0,0
ZCTA5 13476,2746,573,519,63,403,68,1251,370,573,72
ZCTA5 13477,719,149,88,0,90,49,350,84,191,16
ZCTA5 13478,2161,472,360,157,237,40,837,156,727,119
ZCTA5 13480,2484,610,338,112,368,93,1021,256,757,149
ZCTA5 13483,289,18,61,0,38,0,155,18,35,0
ZCTA5 13484,157,32,0,0,140,15,17,17,0,0
ZCTA5 13485,742,90,91,20,81,15,329,26,241,29
ZCTA5 13486,700,109,105,38,93,0,352,37,150,34
ZCTA5 13488,107,24,18,5,36,10,37,9,16,0
ZCTA5 13489,460,49,38,2,85,21,183,16,154,10
ZCTA5 13490,1165,342,256,57,391,95,169,36,349,154
ZCTA5 13491,2496,495,416,100,353,90,1038,185,689,120
ZCTA5 13492,8249,3178,1343,677,1348,620,3334,1180,2224,701
ZCTA5 13493,1264,126,162,19,221,14,554,44,327,49
ZCTA5 13494,224,60,22,5,24,13,81,17,97,25
ZCTA5 13495,1363,288,312,102,217,55,386,26,448,105
ZCTA5 13501,23284,4749,5295,1208,4277,979,8012,1482,5700,1080
ZCTA5 13502,21482,4852,4389,1357,3521,968,8280,1600,5292,927
ZCTA5 13601,24624,5368,6973,1664,4562,1196,8274,1570,4815,938
ZCTA5 13602,634,92,556,76,66,16,12,0,0,0
ZCTA5 13603,4230,1352,2904,854,1044,381,275,110,7,7
ZCTA5 13605,3179,607,595,82,608,215,1186,189,790,121
ZCTA5 13606,1871,445,350,94,257,0,741,179,523,172
ZCTA5 13607,1060,283,114,29,104,29,497,139,345,86
ZCTA5 13608,1024,104,175,16,209,26,439,50,201,12
ZCTA5 13612,1759,480,253,123,334,128,715,190,457,39
ZCTA5 13613,1849,222,389,33,245,36,739,73,476,80
ZCTA5 13614,231,16,92,16,18,0,54,0,67,0
ZCTA5 13615,683,194,84,51,94,40,281,60,224,43
ZCTA5 13616,1026,205,258,51,298,66,273,60,197,28
ZCTA5 13617,6117,2564,932,412,1016,526,2274,866,1895,760
ZCTA5 13618,1230,375,74,43,167,50,520,149,469,133
ZCTA5 13619,6628,1224,1752,440,1085,242,2228,350,1563,192
ZCTA5 13620,1397,186,270,61,200,35,534,62,393,28
ZCTA5 13621,339,81,50,16,92,19,132,34,65,12
ZCTA5 13622,1726,437,193,64,350,94,769,160,414,119
ZCTA5 13623,15,4,0,0,0,0,4,0,11,4
ZCTA5 13624,4150,888,799,52,751,154,1509,356,1091,326
ZCTA5 13625,1370,424,171,39,196,102,535,160,468,123
ZCTA5 13626,1455,207,272,42,243,42,668,84,272,39
ZCTA5 13628,134,43,31,14,28,7,46,16,29,6
ZCTA5 13630,954,159,177,63,159,18,358,50,260,28
ZCTA5 13633,221,41,18,3,25,4,125,24,53,10
ZCTA5 13634,2850,518,484,69,434,89,1252,241,680,119
ZCTA5 13635,776,111,90,16,166,23,312,51,208,21
ZCTA5 13636,147,24,29,6,22,3,56,8,40,7
ZCTA5 13637,2592,666,1132,345,607,178,605,105,248,38
ZCTA5 13638,154,17,47,17,17,0,90,0,0,0
ZCTA5 13639,180,4,13,2,65,0,61,0,41,2
ZCTA5 13640,287,170,29,29,2,0,62,39,194,102
ZCTA5 13641,48,5,0,0,0,0,18,5,30,0
ZCTA5 13642,7084,961,1319,358,901,137,3300,230,1564,236
ZCTA5 13643,13,13,13,13,0,0,0,0,0,0
ZCTA5 13646,1575,297,227,28,151,21,755,132,442,116
ZCTA5 13647,47,27,0,0,0,0,16,11,31,16
ZCTA5 13648,1526,236,212,27,246,67,625,78,443,64
ZCTA5 13650,1127,259,231,20,87,19,430,103,379,117
ZCTA5 13651,93,61,0,0,0,0,23,15,70,46
ZCTA5 13652,1098,165,186,27,147,42,434,45,331,51
ZCTA5 13654,1473,211,240,20,258,36,611,110,364,45
ZCTA5 13655,2083,475,184,0,297,19,893,406,709,50
ZCTA5 13656,1723,234,244,55,438,69,664,73,377,37
ZCTA5 13658,1604,280,243,76,265,31,721,134,375,39
ZCTA5 13659,304,29,45,4,22,7,167,11,70,7
ZCTA5 13660,1113,195,227,44,184,45,450,79,252,27
ZCTA5 13661,1009,284,175,73,187,61,415,107,232,43
ZCTA5 13662,11615,2823,1782,490,2211,708,4456,1143,3166,482
ZCTA5 13664,258,59,19,5,22,1,130,20,87,33
ZCTA5 13665,631,37,80,7,77,2,338,24,136,4
ZCTA5 13666,148,17,7,0,26,6,74,8,41,3
ZCTA5 13667,1785,376,397,150,265,47,685,117,438,62
ZCTA5 13668,2334,624,468,173,303,107,937,212,626,132
ZCTA5 13669,11722,2124,2242,394,2035,429,4556,855,2889,446
ZCTA5 13670,348,39,34,14,56,0,126,10,132,15
ZCTA5 13672,417,174,83,46,62,26,203,88,69,14
ZCTA5 13673,1381,211,352,70,213,39,585,74,231,28
ZCTA5 13674,66,0,0,0,51,0,0,0,15,0
ZCTA5 13675,99,21,18,0,14,0,53,21,14,0
ZCTA5 13676,8374,3256,1784,818,1427,720,3184,1207,1979,511
ZCTA5 13677,31,0,9,0,0,0,16,0,6,0
ZCTA5 13678,259,0,42,0,0,0,165,0,52,0
ZCTA5 13679,1248,221,204,44,228,29,631,116,185,32
ZCTA5 13680,914,142,176,66,227,17,331,37,180,22
ZCTA5 13681,659,74,225,37,85,2,212,14,137,21
ZCTA5 13682,529,94,57,19,79,18,235,36,158,21
ZCTA5 13684,691,181,164,92,66,3,282,63,179,23
ZCTA5 13685,1821,795,557,319,286,182,631,171,347,123
ZCTA5 13687,342,140,79,27,63,28,99,38,101,47
ZCTA5 13690,513,83,45,19,53,13,236,27,179,24
ZCTA5 13691,2139,332,471,85,417,40,885,132,366,75
ZCTA5 13692,30,4,0,0,0,0,7,0,23,4
ZCTA5 13693,348,48,63,0,45,15,85,9,155,24
ZCTA5 13694,971,299,135,59,123,45,394,122,319,73
ZCTA5 13695,92,39,14,3,0,0,52,30,26,6
ZCTA5 13696,58,0,20,0,21,0,0,0,17,0
ZCTA5 13697,1461,347,287,104,322,80,630,130,222,33
ZCTA5 13730,2183,309,270,23,204,50,1111,157,598,79
ZCTA5 13731,812,288,73,59,55,14,330,118,354,97
ZCTA5 13732,5610,2003,658,295,972,448,2472,833,1508,427
ZCTA5 13733,3302,743,499,155,548,166,1140,228,1115,194
ZCTA5 13734,1275,149,208,49,241,10,590,48,236,42
ZCTA5 13736,1534,238,286,86,213,41,608,55,427,56
ZCTA5 13739,650,173,115,35,81,25,202,66,252,47
ZCTA5 13740,412,160,44,22,42,14,197,81,129,43
ZCTA5 13743,2573,497,306,33,418,111,1169,219,680,134
ZCTA5 13744,842,207,166,68,97,51,389,68,190,20
ZCTA5 13746,1500,341,70,23,131,39,716,182,583,97
